r (Angstrom),"g(r) N-Cl-, Glycine (G)","g(r) N-OE1, Glycine (G)","g(r) N-Cl-, Serine (S)","g(r) N-OE1, Serine (S)","g(r) N-Cl-, Arginine (R)","g(r) N-OE1, Arginine (R)","g(r) N-Cl-, Lysine (K)","g(r) N-OE1, Lysine (K)","g(r) N-Cl-, Aspartic acid (D)","g(r) N-OE1, Aspartic acid (D)","g(r) N-Cl-, Glutamine (Q)","g(r) N-OE1, Glutamine (Q)","g(r) N-Cl-, Tyrosine (Y)","g(r) N-OE1, Tyrosine (Y)","g(r) N-Cl-, Phenylalanine (F)","g(r) N-OE1, Phenylalanine (F)"
5.500000000000001,0.7251784886626749,0.6401325216800049,0.6401325216800049,0.6445593441500866,0.6445593441500866,0.686272359751665,0.686272359751665,0.7251784886626749,0.7251784886626749,0.4186981936079214,0.4186981936079214,0.38112872045491286,0.38112872045491286,0.3817151763558358,0.3817151763558358,0.37190672483464177
5.700000000000001,0.7680432899936986,0.6632213803781128,0.6632213803781128,0.6602004132566186,0.6602004132566186,0.7625789455063453,0.7625789455063453,0.7680432899936986,0.7680432899936986,0.47086908242093867,0.47086908242093867,0.43964577717261105,0.43964577717261105,0.4028288221071456,0.4028288221071456,0.41464324193130053
5.9,0.8576301956848426,0.7006337234869332,0.7006337234869332,0.6743953844115183,0.6743953844115183,0.8170865770934284,0.8170865770934284,0.8576301956848426,0.8576301956848426,0.5011742655009868,0.5011742655009868,0.5110414194563879,0.5110414194563879,0.4578518576340176,0.4578518576340176,0.4539402410546128
6.1000000000000005,0.9031054237903231,0.7118645834411491,0.7118645834411491,0.6905531855377087,0.6905531855377087,0.885546751023601,0.885546751023601,0.9031054237903231,0.9031054237903231,0.5480777585245419,0.5480777585245419,0.546278598624545,0.546278598624545,0.5026647901400854,0.5026647901400854,0.4882752906287639
6.300000000000001,1.0040597523822767,0.7367588687576634,0.7367588687576634,0.7396376427514569,0.7396376427514569,0.9014033330916373,0.9014033330916373,1.0040597523822767,1.0040597523822767,0.5706879853381954,0.5706879853381954,0.5558656757755102,0.5558656757755102,0.5180158324130779,0.5180158324130779,0.5207537283192218
6.500000000000001,1.0339174226951484,0.7662275252898462,0.7662275252898462,0.7505047910965457,0.7505047910965457,0.930185051004685,0.930185051004685,1.0339174226951484,1.0339174226951484,0.6078855314864099,0.6078855314864099,0.6057482255980742,0.6057482255980742,0.5466342704856868,0.5466342704856868,0.523396006982966
6.700000000000001,1.0951643240788358,0.7968496787717337,0.7968496787717337,0.8085117248517426,0.8085117248517426,0.9461682159611365,0.9461682159611365,1.0951643240788358,1.0951643240788358,0.6456561516646545,0.6456561516646545,0.6488410270558496,0.6488410270558496,0.5655450928494945,0.5655450928494945,0.543964813798818
6.900000000000001,1.1357715789604765,0.7811521329667543,0.7811521329667543,0.8066340994301413,0.8066340994301413,0.9726750252124069,0.9726750252124069,1.1357715789604765,1.1357715789604765,0.6717235339351749,0.6717235339351749,0.6775604988597006,0.6775604988597006,0.6117078573745476,0.6117078573745476,0.5940160739082123
7.100000000000001,1.2050326980764292,0.7895204366924427,0.7895204366924427,0.805855369119974,0.805855369119974,1.0106905076413693,1.0106905076413693,1.2050326980764292,1.2050326980764292,0.6926580440019731,0.6926580440019731,0.687082068582883,0.687082068582883,0.6354807247072101,0.6354807247072101,0.6028820158992024
7.300000000000001,1.2675190418365336,0.8017377520616904,0.8017377520616904,0.8285202121140168,0.8285202121140168,1.0325588978760107,1.0325588978760107,1.2675190418365336,1.2675190418365336,0.739675797826411,0.739675797826411,0.7401581233789537,0.7401581233789537,0.6878926533071099,0.6878926533071099,0.6463855134269524
7.500000000000001,1.311013803789067,0.8346291108686815,0.8346291108686815,0.854547832501249,0.854547832501249,1.0500526626624054,1.0500526626624054,1.311013803789067,1.311013803789067,0.7626620540940585,0.7626620540940585,0.7648216570047826,0.7648216570047826,0.7194168537255754,0.7194168537255754,0.6798994166967645
7.700000000000001,1.3771159103541804,0.8362765953561493,0.8362765953561493,0.8589884861386579,0.8589884861386579,1.04506039056912,1.04506039056912,1.3771159103541804,1.3771159103541804,0.74381991093665,0.74381991093665,0.8072976561767551,0.8072976561767551,0.7414498820079047,0.7414498820079047,0.7097348147765655
7.900000000000001,1.3898828274115782,0.8512144588592219,0.8512144588592219,0.8898805745275249,0.8898805745275249,1.0532565771816327,1.0532565771816327,1.3898828274115782,1.3898828274115782,0.78148418453581,0.78148418453581,0.806238780651888,0.806238780651888,0.7968702337222675,0.7968702337222675,0.7277239341372865
8.100000000000001,1.3541742593772959,0.8516808262199222,0.8516808262199222,0.8978670504525796,0.8978670504525796,1.071541202722952,1.071541202722952,1.3541742593772959,1.3541742593772959,0.7870159119010897,0.7870159119010897,0.8201690258172889,0.8201690258172889,0.7958929465633234,0.7958929465633234,0.7281306202594744
8.3,1.3497212635191835,0.8452679162091935,0.8452679162091935,0.8908699650865287,0.8908699650865287,1.0679997023007712,1.0679997023007712,1.3497212635191835,1.3497212635191835,0.7808878718217177,0.7808878718217177,0.8336315452798231,0.8336315452798231,0.8061095531244665,0.8061095531244665,0.7634170718561573
8.500000000000002,1.2701166241532564,0.8699553204856584,0.8699553204856584,0.8772957498128586,0.8772957498128586,1.066883785327531,1.066883785327531,1.2701166241532564,1.2701166241532564,0.7986577932813795,0.7986577932813795,0.8410665932095887,0.8410665932095887,0.8136110717219307,0.8136110717219307,0.7584940290446442
8.700000000000001,1.231280920473529,0.8668115953475831,0.8668115953475831,0.8978250690341898,0.8978250690341898,1.089259475442355,1.089259475442355,1.231280920473529,1.231280920473529,0.7902316868705004,0.7902316868705004,0.8374781420435773,0.8374781420435773,0.8330371007341414,0.8330371007341414,0.7904062182014404
8.900000000000002,1.1738455969041106,0.8722844624130596,0.8722844624130596,0.8926870833826781,0.8926870833826781,1.095657513628474,1.095657513628474,1.1738455969041106,1.1738455969041106,0.7924972771747569,0.7924972771747569,0.8514513294624386,0.8514513294624386,0.8468490704182813,0.8468490704182813,0.7833407837736118
